customer_id,declared_occupation,annual_income_brl,risk_rating,risk_score,iso_score,xgb_prob,final_score,risk_tier,max_income_ratio,min_geojump_min,n_struct_txs,n_vpn_txs,total_vol,n_txs,n_crossborder,fanout_ratio,n_geojumps,n_sanctions_hits,kyc_risk_score
C101048,Mechanic,13616.0,Medium,9,1.0,0.9990903,0.9993632316589356,CRITICAL,22.11,2.33,0,3,169667.43,32,7,0.0,5,0,82.0
C101120,Software Engineer,16793.0,Medium,7,0.9877759357543056,0.9854124,0.9861214798763771,CRITICAL,73.92,5.77,0,1,168535.41,24,3,42.1435,3,0,42.0
C100761,Entrepreneur,23385.0,Low,8,0.9659776845276388,0.99386543,0.9854990768045196,CRITICAL,26.65,11.85,1,1,176062.35,27,4,717.3944,2,0,33.0
C101341,Freelancer,15408.0,Low,8,0.952474868003922,0.9980317,0.9843646275116197,CRITICAL,36.92,4.1,0,3,211512.98,36,5,12.6253,3,0,56.0
C100493,Software Engineer,36617.0,Low,7,0.9117567667250872,0.9963319,0.9709593096043181,CRITICAL,15.55,12.08,1,1,184396.49,30,10,20.6306,2,0,66.0
C101919,Nurse,10626.0,Medium,8,0.9038682799540008,0.9992055,0.970604360729517,CRITICAL,62.58,23.24,1,3,152429.63,25,6,0.0,1,0,77.0
C102130,Store Owner,13969.0,Medium,9,0.877186661205968,0.9991104,0.9625332967168929,CRITICAL,121.05,5.15,2,2,271016.03,23,3,7.6907,1,0,68.0
C100117,Software Engineer,9753.0,Low,7,0.8778675350453115,0.9983328,0.9621931896479623,CRITICAL,143.2,10.98,0,5,196562.07,24,6,9.6099,2,0,29.0
C101647,Entrepreneur,12733.0,Low,8,0.8631816489907685,0.9986357,0.9579994971577103,CRITICAL,32.84,2.4,1,7,226589.05,32,7,0.0,2,0,63.0
C100932,Nurse,6706.0,Low,10,0.8532056797546617,0.99972624,0.9557700630725167,CRITICAL,28.09,29.65,1,1,162041.46,33,5,12.6686,1,0,59.0
C101830,Mechanic,3932.0,Medium,5,0.9280689484724408,0.9647758,0.9537637211933436,CRITICAL,107.07,9999.0,0,2,121682.15,19,4,38.1008,0,0,85.0
C101082,Student,3061.0,Low,8,0.8307143972021451,0.9991485,0.9486182607919607,CRITICAL,108.57,18.48,0,5,147849.08,26,7,7.6907,1,0,93.0
C100939,Software Engineer,25483.0,Low,8,0.8447068412638287,0.9902592,0.9465934479098492,CRITICAL,61.27,17.22,3,1,199380.03,18,6,11.0423,1,0,45.0
C102057,Consultant,8567.0,Medium,8,0.824140145979952,0.99764806,0.9455956919797156,CRITICAL,107.11,8.75,0,1,182933.88,24,3,22.1842,2,0,90.0
C100575,Teacher,63296.0,Low,6,0.8712249539232156,0.977464,0.9455922705512018,CRITICAL,23.85,27.73,0,0,183295.31,21,4,69.5579,2,0,58.0
C102053,Student,8711.0,Low,9,0.804895952674303,0.99939835,0.941047607461379,CRITICAL,71.93,24.88,2,2,140206.33,28,6,104.6601,1,0,64.0
C101773,Nurse,28593.0,Medium,8,0.8007238262268883,0.9988318,0.9393994198254639,CRITICAL,20.59,16.32,1,3,193300.21,23,3,19.0333,1,0,50.0
C100118,Student,12962.0,Medium,8,0.7788239015332488,0.99968874,0.9334293035623916,CRITICAL,26.92,18.35,1,1,111250.06,28,3,0.0,1,0,47.0
C101631,Dentist,10015.0,Low,6,0.7880895468501034,0.9919661,0.9308031538995439,CRITICAL,86.89,6.52,0,0,128592.91,15,2,0.0,2,0,39.0
C101542,Freelancer,3687.0,Low,7,0.7694624161353473,0.99889934,0.9300682632813085,CRITICAL,84.13,5.06,0,3,103286.93,28,7,7.5124,1,0,59.0
C100853,Accountant,8326.0,Medium,9,0.7633196066955791,0.99850035,0.9279461130839606,CRITICAL,29.54,0.79,0,4,136816.97,28,6,0.0,5,0,47.0
C100254,Trader,10369.0,Low,8,0.7583539922813578,0.9985683,0.9265039932662249,CRITICAL,47.14,26.59,0,2,138948.12,29,4,164.9618,1,0,46.0
C101810,Trader,59660.0,Low,6,0.7579104984313958,0.9968182,0.9251458908471677,CRITICAL,10.28,2.42,0,1,160198.62,23,5,0.0,1,0,53.0
C101821,Driver,16627.0,Low,7,0.7398166368779389,0.9971842,0.9199739131443753,CRITICAL,45.78,10.24,0,3,142218.88,27,6,12.7758,1,0,29.0
C100313,Lawyer,33360.0,Low,8,0.7340197190787388,0.9962993,0.9176154263361094,CRITICAL,10.48,16.82,2,3,159165.69,27,6,127.3817,3,0,84.0
C100857,Designer,2461.0,Low,7,0.7288533848549605,0.9974533,0.916873288214972,CRITICAL,241.18,24.21,0,1,121496.85,16,1,0.0,1,0,66.0
C100547,Freelancer,14204.0,Low,8,0.7226218297931801,0.9996425,0.9165362571136132,CRITICAL,29.15,18.82,0,5,135568.66,24,6,0.0,2,0,53.0
C102003,Trader,4810.0,Low,9,0.708753250772314,0.99915314,0.9120331355138291,CRITICAL,88.94,8.14,2,2,145814.73,21,2,149.7724,1,0,70.0
C100940,Lawyer,5364.0,Low,9,0.7006364101771004,0.9988199,0.909364850360259,CRITICAL,74.44,18.51,1,3,127123.5,28,8,0.0,1,0,81.0
C101853,Student,28974.0,Low,7,0.6990637832105644,0.9980616,0.9083622233039286,CRITICAL,42.26,5.39,0,2,231824.14,24,3,0.0,1,0,49.0
C102370,Software Engineer,21834.0,High,8,0.6848326379270411,0.99959904,0.9051691011849361,CRITICAL,20.63,1.65,1,2,128536.05,17,4,426.3869,2,0,37.0
C100460,Software Engineer,10396.0,Medium,7,0.6875390723917258,0.9983461,0.9051039491764716,CRITICAL,46.77,9.83,1,2,167833.03,28,5,23.6296,2,0,71.0
C100792,Mechanic,16315.0,High,11,0.677030754208706,0.9996063,0.9028336620688862,CRITICAL,22.0,10.4,2,1,158213.33,29,2,0.0,1,0,52.0
C101368,Software Engineer,8767.0,Low,7,0.6886071303106245,0.9941539,0.9024898510759144,CRITICAL,57.58,25.55,0,1,170765.17,21,2,50.2446,1,0,67.0
C101126,Teacher,24019.0,Low,7,0.6738832257760239,0.998468,0.9010925490430793,CRITICAL,11.06,24.38,0,5,109123.4,25,5,0.0,2,0,43.0
C101908,Store Owner,35716.0,Low,6,0.6737915454315409,0.9957001,0.8991275363566656,CRITICAL,7.82,22.05,0,2,126911.41,29,5,2.103,1,0,75.0
C101874,Teacher,26819.0,Low,8,0.6647958210210163,0.9977883,0.8978905633419799,CRITICAL,4.45,1.08,2,3,97960.86,32,10,0.0,4,0,58.0
C102202,Chef,2445.0,High,9,0.6591346408444263,0.9996178,0.8974728746866469,CRITICAL,101.26,6.11,0,1,68860.81,18,5,1.7228,1,0,70.0
C102179,Driver,8267.0,Low,9,0.6497366628127926,0.99959964,0.894640725883175,CRITICAL,25.02,8.18,0,3,122941.03,28,5,88.4689,1,0,19.0
